article_url,group,like_count,corpus_title,corpus_day,article_title,writer_name,writer_url,publish_datetime,browse_count,text_content,h1,h2,h3,h4,h5,h6,crawled_date
https://ithelp.ithome.com.tw/articles/10192217,自我挑戰組,0,Drupal8與LineBot水滴機器人的愛與冒險系列,1,一個開始,joshra,https://ithelp.ithome.com.tw/users/20106824/ironman,1513813951000000000,3,"不知道從什麼時候開始，寫作成了夢魘，鍵盤成了厚厚的磚。工作與生活，日以繼夜的資訊轟炸，飛快旋轉的思緒，久久無法降落，無法補捉眼前亂舞的各種想法。
今天是我的生日，就讓這個鐵人試煉，成為自己31歲的生日禮物吧。
聽說要持續寫作，要提早想好主題、想好大綱，然後一口氣完成。
所以第一天，來談談這個鐵人試煉我想要呈現的主題。
工作上經常接觸政府網站，許許多多一再出現的需求，一再出現的問題，總是在忙碌中草草略過。在這個月的試煉裡，我想要涵蓋：
並且在過程中實作一些經常性的需求，以 Drupal 實作可重複使用的小型系統。例如：
期待這個旅程",,['哪些主題？'],,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192654,Security,0,資安分析師的轉職升等之路系列,2,Day2:十年磨一劍一朝試鋒芒,frankyzyao,https://ithelp.ithome.com.tw/users/20084806/ironman,1513813855000000000,6,"前面提到我面臨職業生涯的重要決定，當時我仔細考慮，下定決心接受挑戰轉職後，有了更大膽的想法：與其做助理協助別人，為什麼不投資自己，成為老闆渴求的專家呢？
於是我更積極地吸收研究所的知識，常常向教授挖寶學習，也善用半個學生的身分參加學校資安社團，享受學生優惠價參與一些資安活動，在一些Meetup和活動中看資安廠商介紹他們的產品和技術，有一次Arbor的SE在台上對DDoS Attack做很詳細的介紹，比教授介紹的還仔細！以往主管時不時來關心大家，問起我的學業，總是以「不錯，可以準時畢業」簡單帶過；現在既然決定投入資安領域，主管的經驗與想法也很有參考價值。例如有ㄧ次主管問起，我順勢問道：「最近在學網站伺服器安全…請問我們公司有架設那些網站？是用什麼工具保護呢？」主管不單回答問題，也和我針對web server做了ㄧ些討論，最後總結：「你提的東西大方向很好，但那些是學校教的工具，不一定適合企業環境，在企業環境裡需要的是… 這部份你有興趣了解，可以請CISO做細部解釋」。如此討論，就好像主管在幫我（免費）上課，真是賺到啦！
至於怎麼培養專業，怎麼爭取認同呢？常常聽到「證照無用論」，其實單純背背題庫考過，真的用途不大。但是以證照測驗內容為方向，穩紮穩打的學習，確實遠比盲目自修有效率。當時我比較幾個不同的資安證照，擬定準備考取ㄧ張初階證照（不需要太多資安經驗），兼具一定的深度與廣度，但偏重廣度而非單一技術性（讓我能對資訊安全有全面的了解），廠商中立性質（Vendor Neutral），偏向管理和技能，熱門且接受度高的證照，所以首先排除CISSP, CISM, CISA等需要幾年相關經驗的中級證照，較注重單一技術層面的CEH，OSCP等也不太適合，考慮SANS的證照考試費用較高（美金$729），更新費用也不斐（美金$429），便選擇以CompTIA Security + 為目標。Security+ 符合ISO-17024國際標準認證；符合美國國防部DoD 8570.1命令的要求；符合FISMA（美國聯邦資訊安全管理法案）的要求，並且被美國國家標準協會（ANSI）官方認可，接受度非常廣，費用也相對較低廉，經過一段時間學習後，覺得內容也很契合我的要求。以往無論是在學校上課、參加研討會、活動等等學到的知識和技術多半是片面、零碎的，之前工作時學到的東西也覺得不相關。Security+ 證照的學習過程中讓我有系統地學習資訊安全的全貌，感覺就像是打下正宗基礎內功底子，融合之前工作經驗，接下來無論在研討會聽到什麼新技術都能快速掌握，在研究所選課也不會有「這堂課到底和資訊安全有什麼關聯」的疑問。
經過這段時間充分學習後，我面帶微笑步出考場。某天主管再找我進辦公室談話時，我默默把手機上CompTIA Security+ 的證書照片給他看，走出辦公室時，勇者鬥惡龍的升級音效在背後響起，正式成為資安分析師Security Analyst啦！
「可惜我來來去去就只會這一招，養兵千日，用在一朝。」荀彧《火鳳燎原》
你有資訊安全的證照嗎？你的第一張證照是什麼？明天將會介紹資安證照，第四天將會正式分享工作上遇到的挑戰。
以下連結提供參考: 這五張都是非常熱門的資安證照
Best InfoSec Certifications (Top 5)
http://www.tomsitpro.com/articles/information-security-certifications,2-205.html",,,,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192640,AI&MachineLearning,0,利用MSBotframework與CognitiveService建構自用智慧小秘書系列,17,17.CognitiveService-圖片文字辨識,DuranHsieh,https://ithelp.ithome.com.tw/users/20091494/ironman,1513813478000000000,2,"Step 1. 登入 Azure Portal，點選新增 → 輸入 computer vision API

Step 2. 點選建立

Step 3. 填選相關資料 → 建立

Step 4. 與先前建立文字翻譯服務相同，有詳細的步驟說明，我們一樣先點選 Keys

Step 5. 相同的，我們先記錄下其中一個 Key 等等可以測試使用

Step 6. 開啟API參考文件 ，有列出不同區域API URL，我們選擇的是東南亞

Step 7.文件內描述需要哪些參數、標頭與支援的圖片格式

我們先隨意產生一張圖片：

我們開啟 postman，輸入下列參數：
網址：https://eastasia.api.cognitive.microsoft.com/vision/v1.0/analyze?visualFeatures=Categories,Description,Color&language=en
標頭：
Ocp-Apim-Subscription-Key：your_key
Content-Type：application/octet-stream
撰寫中..","['Computer Vision API 設定', '測試']",,,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192647,DevOps,0,LearnAzuerin30days系列,2,#2-為何選擇Azure,Alan.Liu,https://ithelp.ithome.com.tw/users/20087544/ironman,1513813413000000000,3,"本來想直接進入主題開始發一大堆Azure功能介紹文章,但我認為評估導入與技術考量都比不上說服老闆買單實際,
所以就在開賽第二天舉了顆導入的栗子,來給觀看文章的朋友參考看看
公司內部使用雲端技術需要多方面的需求評估以及長官的支持(Budget&&分析報告)
而我們之所以會選擇雲端服務是因為公司內的業務發展主要於美、歐、杜拜、印度等等的海外地區
遙想剛進入VIVOTEK的時候,我們的官網採用ASP.NET Webform加上自建機房的Serverㄥ
你可以想像著每當海外User點擊你的網頁,接著發出一個Request連到台灣,在回應到遙遠的彼方
一來封包不安全以外,服務連線的效能也大大的縮減網站使用的品質

(圖片來源:https://www.qa-knowhow.com/?p=792)
綜合以上問題讓單位內不時收到來自國外無法連線,或者是Timeout的Server端Error,
甚至是經常發生台灣海纜不穩定、駭客DDOS癱瘓網路,導致外部連線異常等等的特殊情況
於是乎我們選擇了AWS,沒錯是AWS,針對網站架構我們開設了EC2,S3,RDS...等資源並將網站部署於EC2
並不是為了要挑戰雲端品牌的選取!而是評估Azure更適合目前我們網站目前的架構與技術考量

(目前除了網站之外產品的雲端服務還是架構於AWS之上的)
接著是評估時的網站架構:
再導入初期一切都非常美好,的確海外的客戶也減少了大量連線品質的抱怨,
But!問題來了
因為機器放置在美東,台灣的內部使用者開始嫌網站很慢,連線異常
EC2與我們自建機房其實沒有多大的差別,而且VM價格不便宜,所以我們的價層很低
前人開始將部分含有後端程式碼Code通通改寫為靜態html並且放置到S3上(然後他們就離職了..WTF)
原先由Key User利用後台維護的資料,變成開發團隊瘋狂改靜態官網的大量工作
綜合以上原因,經過分析報告與經費申請,我們開始將尚未改為靜態的ASP.NET Webform網站逐步部署至Azure上並進行觀察,實際開始時ASP.NET與Azure不僅有Portal快速地進行部屬的設置,Visual Studio也能夠直接將程式於Azure上頭
這加快了開發人員上線時,不需要遠端到低階VM進行上線流程,我們建置的速度比預估更是節省了非常大的人力
尚有文中服務還在Azure努力的撐著,撐到我們改寫完畢:)
",,['為何選擇Azure?'],,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192650,ModernWeb,0,前端學習筆記系列,3,這記得「烘焙機」的另一個意思嗎？,stca,https://ithelp.ithome.com.tw/users/20107874/ironman,1513813395000000000,9,"
在 google 上搜尋「烘焙機 homepage」，出現的時間點已經有點久遠了。第一次",,['緣起'],,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192649,ModernWeb,0,前端學習筆記系列,2,還記得「烘焙機」的另一個意思嗎？,stca,https://ithelp.ithome.com.tw/users/20107874/ironman,1513813356000000000,2,"
在 google 上搜尋「烘焙機 homepage」，出現的時間點已經很久遠了。",,['緣起'],,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192648,SoftwareDevelopment,0,簡潔高效的PHP&Laravel工作術：從ElementaryOS下手的聰明改造提案系列,10,第10天：在elementaryOS上安裝/設定中文輸入法,shengyou,https://ithelp.ithome.com.tw/users/20107229/ironman,1513813350000000000,2,"當您安裝完 elementary OS 後，應該會發現根本沒有辦法輸入中文。這是大多數人接觸 Linux 時常遇到的難題，也是筆者寫這系列時最常被問到的主題。事實上，Linux 的桌面環境在近幾年的發展下，目前在中文輸入上已經獲得大幅度的改善。只是因為中文輸入法實在太多樣，在每個人偏好不同的條件下，往往在尋找資源上撞壁、不得要領。
老實說，筆者在剛使用 elementary OS 時，針對中文輸入這一塊也的確卡了一段時間。在大量爬文和多次重新安裝系統後，目前已經可以成功地在 elementary OS 上用兩種輸入法輸入中文字。因此，在這一篇介紹裡，就要將這個精煉過的最小路徑提供給讀者們參考。
在開始之前，先讓讀者建立一個基本印象：在 Linux 的世界裡，在作業系統跟應用程式之間處理鍵盤輸入的是輸入法框架 (input method framework)；而我們所熟知的輸入法 (比方說注意、倉頡)，只是運作在這個輸入法框架上的一種鍵組對照表 (table)。換句話說，在 Linux 上要輸入非英文字元的話，要先安裝一個輸入法框架，然後再在這個輸入法框架上安裝自己熟悉的輸入法鍵組對照表。
以目前 Linux 桌面環境的現況來看，主流的輸入法框架有兩個：ibus 及 fcitx，而這兩個輸入法框架上幾乎都可以找到各輸入法的鍵組對照表。從資料上來看 elementary OS 預設的輸入法框架就是 ibus，所以在 elementary OS 上應該只需要安裝和設定自己熟悉的輸入法即可。
可惜的是，筆者照著建議的步驟安裝並沒有成功 (不過還是把當初的參考資料整理在文未的參考資料裡)，反倒是改用 fcitx 後可以成功運作。另外，礙於筆者會的輸入法有限，因此在這篇介紹裡，會以 fcitx 這個輸入法框架及兩個比較常見的輸入法：注音、嘸蝦米來做安裝教學。
由於安裝 fcitx 需要透過官方的 ppa 來源，而 elementary OS 因為擔心第三方來源的軟體在安全性及穩定性可能不是這麼可靠，所以預設是不能增加 ppa 來源的，也就是說不會有 add-apt-repository 這個指令。不過，我們還是可以把這個功能手動安裝回來。請先用快速鍵 Meta+T 打開終端機，並透過 apt 套件管理安裝 software-properties-common 這個套件：
(圖)
接著，就可以增加 ppa 來源：
(圖)
註：有些參考資料提到要安裝 nightly 的來源，不過經過筆者實測，使用 stable 的版本是沒問題的。
然後要記得先更新套件來源後，就可以搜尋/安裝的到 fcitx 套件：
(圖)
有了 fcitx 後，接著就可以安裝自己熟悉的輸入法，以安裝注音輸入法來說，可以考慮使用酷音輸入法，其套件名稱為 fcitx-chewing；若您跟筆者一樣是使用嘸蝦米輸入法的話，要安裝的套件名稱則是 fcitx-table-boshiamy。
(圖)
在這邊要特別聲明，嘸蝦米輸入法的表格檔是有版權的。換言之，若您沒有向官方購買正版版權的話，在 Linux 上使用嘸蝦米就是違法的行為。筆者在這邊呼籲大家務必重視版權。輸入法就像自己的吃的飯、用的電腦，是生活必需品、是生財工具。從您打字的數量、增加的生產力和省下的時間，購買授權的費用真的不算多，也是支援這個輸入法的未來開發。筆者以身作則，每一個作業系統都有買一套正版授權。
安裝好 fcitx 輸入法框架及輸入法後，最後就要設定 elementary OS 使用 fcitx 做為預設的輸入法框架。這步驟需要在終端機內使用 im-config 指令完成觸發設定程式：
(圖)
輸入指令後，就會觸發設定程式啟動，並出現以下畫面：
(圖)
請直接點選確定 (OK)，接著下一步：
(圖)
由於我們要修改設定，請點選確定 (Yes)，接著選擇 fcitx：
(圖)
確認設定沒問題後，點選確定 (OK) 結束設定程式。
(圖)
完成後要重新登出再登入，或是果斷一點直接重開機。
再次進入桌面後，在面板上應該就可以看到鍵盤的圖示，請選擇設定 (Configure)：
(圖)
在輸入法的部份，請按左下角的 + 號來新增輸入法：
(圖)
選擇自己熟悉的輸入法後按確定。
(圖)
完成後就可以用 Ctrl+Space 切換輸入法開始輸入中文啦！
(圖)
不知道這樣有沒有改變您長久以來對 Linux 中文支援的印象呢？對您有幫助的話麻煩幫我按個掌聲。您是哪一種輸入法的愛好者呢？歡迎在留言裡跟我交流！",,"['先談輸入法框架', '安裝 fcitx 框入法框架', '安裝輸入法', '設定 elementary OS 使用的輸入法框架', '參考資料：']",,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192601,自我挑戰組,0,ArasPLM開發練功30天系列,17,[Day17]ArasVault檔案櫃設定案例,panda0909,https://ithelp.ithome.com.tw/users/20106503/ironman,1513813316000000000,3,"今天來分享一下最近在Aras Vault檔案櫃的案例
正常的Vault流程，同一網段的檔案下載執行過程

不同網段間的檔案下載執行過程

當Client執行ServerEvent執行checkout檔案下載時，Server會尋找User檔案櫃位址，接著去請求檔案下載回server，結果在不同網段時會請求失敗。原因是一般在Client端執行檔案下載會經過轉址，但Server程式執行時已經不經過轉址。

如果要在server端checkout檔案，並複製到其他檔案伺服器，必須確保Vault伺服器可以被透過port80連線，即使 AP Server與 Vault Server同一網段，還是有可能因為使用者設定造成連線失敗。",,,,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192417,ModernWeb,0,前端學習筆記系列,1,還有人記得「烘焙機」的另一個意思嗎？,stca,https://ithelp.ithome.com.tw/users/20107874/ironman,1513813309000000000,2,"
在 google 上搜尋「烘焙機 homepage」，出現的時間點已經很久遠了。",,['緣起'],,,,,1513814115190786000
https://ithelp.ithome.com.tw/articles/10192635,自我挑戰組,0,自我挑戰日記系列,15,CSS：box-reflect顛倒文字,bdp,https://ithelp.ithome.com.tw/users/20107496/ironman,1513813270000000000,4,"今天要作文字的變化
除了水平、垂直、旋轉移動之外
CSS還可以作出顛倒的字、圖

除了文字、圖像生成在下方的顛倒還可以換成是生成在上方或左右
以及可以用漸層生成背景和遮罩選擇性遮掉
參考來源：
https://developer.mozilla.org/en-US/docs/Web/CSS/-webkit-box-reflect
接下來要把文字彎曲作出弧形
或是作成像是繞圓一樣時
就需要使用到 jQuery

radius 的數值愈小弧度愈大

參考來源：
https://codepen.io/zambo/pen/jKEDp
--- 明日待續。",,,['大家好 '],,,,1513814115190786000
